LoanX ID,Mark Date,Bid,Offer,Depth,Evaluated Price,Close Bid,Close Offer,Close Date,Contributed
"LX130766","2020-08-28","20.833","23.167","3","22","20.833","23.167","2020-08-28","N"
"LX131033","2020-08-28","89.5","91.5","1","90.5","89.5","91.5","2020-08-28","N"
"LX131063","2020-08-28","45","55","1","50","45","55","2020-08-28","N"
"LX131070","2020-08-28","93.873","94.795","implied","94.334","93.873","94.795","2020-08-28","N"
"LX131096","2020-08-28","97.5","99.5","2","98.5","97.5","99.5","2020-08-28","N"
"LX131301","2020-08-28","93.887","94.72","implied","94.3035","93.887","94.72","2020-08-28","N"
"LX131473","2020-08-28","99.25","100.25","1","99.75","99.25","100.25","2020-08-28","N"
"LX131507","2020-08-28","75","80","1","77.5","75","80","2020-08-28","N"
"LX131660","2020-08-28","98.282","99.582","implied","98.932","98.282","99.582","2020-08-28","N"
"LX131833","2020-08-28","7","18","1","12.5","7","18","2020-08-28","N"
"LX132080","2020-08-28","99.25","99.75","1","99.5","99.25","99.75","2020-08-28","N"
"LX132154","2020-08-28","98","99","1","98.5","98","99","2020-08-28","N"
"LX132200","2020-08-28","88.531","90.844","4","89.6875","88.531","90.844","2020-08-28","N"
"LX132390","2020-08-28","97","98","1","97.5","97","98","2020-08-28","N"
"LX132482","2020-08-28","57","60.625","4","58.8125","57","60.625","2020-08-28","N"
"LX132580","2020-08-28","22.34","22.39","1","22.365","22.34","22.39","2020-08-28","N"
"LX132585","2020-08-28","11","16","1","13.5","11","16","2020-08-28","N"
"LX132635","2020-08-28","2.3","2.31","1","2.305","2.3","2.31","2020-08-28","N"
"LX132647","2020-08-28","1.455","1.625","2","1.54","1.455","1.625","2020-08-28","N"
"LX132714","2020-08-28","0.02","0.045","2","0.0325","0.02","0.045","2020-08-28","N"
"LX132726","2020-08-28","0.3","0.32","2","0.31","0.3","0.32","2020-08-28","N"
"LX133004","2020-08-28","98.667","100.333","3","99.5","98.667","100.333","2020-08-28","N"
"LX133019","2020-08-28","80","82.75","4","81.375","80","82.75","2020-08-28","N"
"LX133020","2020-08-28","80","82.667","3","81.3335","80","82.667","2020-08-28","N"
"LX133156","2020-08-28","83","86","1","84.5","83","86","2020-08-28","N"
"LX133157","2020-08-28","78.913","81.913","implied","80.413","78.913","81.913","2020-08-28","N"
"LX133183","2020-08-28","0.141","0.19","1","0.1655","0.141","0.19","2020-08-28","N"
"LX133194","2020-08-28","95","95","1","95","95","95","2020-08-28","N"
"LX133218","2020-08-28","89.932","91.114","11","90.523","89.932","91.114","2020-08-28","N"
"LX133241","2020-08-28","96.5","97","1","96.75","96.5","97","2020-08-28","N"
"LX133243","2020-08-28","93.373","93.873","implied","93.623","93.373","93.873","2020-08-28","N"
"LX133355","2020-08-28","99.75","100.25","1","100","99.75","100.25","2020-08-28","N"
"LX133411","2020-08-28","68.625","71.688","8","70.1565","68.625","71.688","2020-08-28","N"
"LX133412","2020-08-28","67","69","implied","68","67","69","2020-08-28","N"
"LX133442","2020-08-28","98.557","99.557","implied","99.057","98.557","99.557","2020-08-28","N"
"LX133451","2020-08-28","14.036","17.982","7","16.009","14.036","17.982","2020-08-28","N"
"LX133474","2020-08-28","96.5","97","1","96.75","96.5","97","2020-08-28","N"
"LX133737","2020-08-28","66.839","70.161","7","68.5","66.839","70.161","2020-08-28","N"
"LX133738","2020-08-28","5","9","4","7","5","9","2020-08-28","N"
"LX133776","2020-08-28","67","69","1","68","67","69","2020-08-28","N"
"LX133850","2020-08-28","2","8","1","5","2","8","2020-08-28","N"
"LX133984","2020-08-28","97","98","1","97.5","97","98","2020-08-28","N"
"LX134107","2020-08-28","0.01","0.25","1","0.13","0.01","0.25","2020-08-28","N"
"LX134268","2020-08-28","94.081","94.998","implied","94.5395","94.081","94.998","2020-08-28","N"
"LX134271","2020-08-28","99.75","100.25","1","100","99.75","100.25","2020-08-28","N"
"LX134289","2020-08-28","22","25","1","23.5","22","25","2020-08-28","N"
"LX134298","2020-08-28","22","28","1","25","22","28","2020-08-28","N"
"LX134301","2020-08-28","22","28","1","25","22","28","2020-08-28","N"
"LX134305","2020-08-28","22","28","1","25","22","28","2020-08-28","N"
"LX134440","2020-08-28","0.01","0.5","1","0.255","0.01","0.5","2020-08-28","N"
"LX134485","2020-08-28","97","97.922","8","97.461","97","97.922","2020-08-28","N"
"LX134586","2020-08-28","83.611","85.833","9","84.722","83.611","85.833","2020-08-28","N"
"LX134592","2020-08-28","69.246","72.246","implied","70.746","69.246","72.246","2020-08-28","N"
"LX134639","2020-08-28","90","95","1","92.5","90","95","2020-08-28","N"
"LX134666","2020-08-28","96","96.5","1","96.25","96","96.5","2020-08-28","N"
"LX134757","2020-08-28","96","97","1","96.5","96","97","2020-08-28","N"
"LX134817","2020-08-28","87.175","88.925","5","88.05","87.175","88.925","2020-08-28","N"
"LX134850","2020-08-28","0.01","0.03","1","0.02","0.01","0.03","2020-08-28","N"
"LX134857","2020-08-28","95.625","96.875","2","96.25","95.625","96.875","2020-08-28","N"
"LX134858","2020-08-28","95.625","96.875","2","96.25","95.625","96.875","2020-08-28","N"
"LX134864","2020-08-28","98.75","100.25","2","99.5","98.75","100.25","2020-08-28","N"
"LX134879","2020-08-28","99","99.875","2","99.4375","99","99.875","2020-08-28","N"
"LX134881","2020-08-28","98.18","99.055","implied","98.6175","98.18","99.055","2020-08-28","N"
"LX134882","2020-08-28","37.667","40","3","38.8335","37.667","40","2020-08-28","N"
"LX134883","2020-08-28","7.5","12.5","2","10","7.5","12.5","2020-08-28","N"
"LX135066","2020-08-28","90","92.667","3","91.3335","90","92.667","2020-08-28","N"
"LX135169","2020-08-28","83","86","1","84.5","83","86","2020-08-28","N"
"LX135212","2020-08-28","1.05","1.3","1","1.175","1.05","1.3","2020-08-28","N"
"LX135241","2020-08-28","85","90","1","87.5","85","90","2020-08-28","N"
"LX135245","2020-08-28","97","99","1","98","97","99","2020-08-28","N"
"LX135294","2020-08-28","450","850","1","650","450","850","2020-08-28","N"
"LX135318","2020-08-28","64.071","68.214","7","71.5","68","75","2020-08-28","N"
"LX135320","2020-08-28","2.688","8.438","8","5.188","2.688","7.688","2020-08-28","N"
"LX135384","2020-08-28","13.475","16.025","10","14.75","13.475","16.025","2020-08-28","N"
"LX135388","2020-08-28","97.655","99.03","implied","98.2425","97.555","98.93","2020-08-28","N"
"LX135425","2020-08-28","97","98","1","97.5","97","98","2020-08-28","N"
"LX135585","2020-08-28","2","5","1","3.5","2","5","2020-08-28","N"
"LX135615","2020-08-28","95","97","1","96","95","97","2020-08-28","N"
"LX135616","2020-08-28","95","97","1","96","95","97","2020-08-28","N"
"LX135737","2020-08-28","46.625","50.375","8","48.5","46.625","50.375","2020-08-28","N"
"LX135757","2020-08-28","94.375","95.75","4","95.0625","94.375","95.75","2020-08-28","N"
"LX135764","2020-08-28","77","80","4","78.5","77","80","2020-08-28","N"
"LX135885","2020-08-28","86","88","1","87","86","88","2020-08-28","N"
"LX135905","2020-08-28","94.371","95.387","4","94.879","94.371","95.387","2020-08-28","N"
"LX135906","2020-08-28","79.5","85.5","4","82.5","79.5","85.5","2020-08-28","N"
"LX135908","2020-08-28","30","35","2","32.5","30","35","2020-08-28","N"
"LX135966","2020-08-28","99.5","100","1","99.75","99.5","100","2020-08-28","N"
"LX135981","2020-08-28","97","98","1","97.5","97","98","2020-08-28","N"
"LX135984","2020-08-28","95.657","96.657","implied","96.157","95.657","96.657","2020-08-28","N"
"LX136112","2020-08-28","3.406","4.594","4","4","3.406","4.594","2020-08-28","N"
"LX136233","2020-08-28","99.5","100","1","99.75","99.5","100","2020-08-28","N"
"LX136235","2020-08-28","97","98","1","97.5","97","98","2020-08-28","N"
"LX136309","2020-08-28","0.5","1","1","0.75","0.5","1","2020-08-28","N"
"LX136370","2020-08-28","16.104","19.104","6","17.604","16.104","19.104","2020-08-28","N"
"LX136419","2020-08-28","96","96.5","1","96.25","96","96.5","2020-08-28","N"
"LX136422","2020-08-28","96","96.5","1","96.25","96","96.5","2020-08-28","N"
"LX136454","2020-08-28","95","95","1","95","95","95","2020-08-28","N"
"LX136467","2020-08-28","10","20","1","15","10","20","2020-08-28","N"
"LX136487","2020-08-28","26.167","28.5","3","27.3335","26.167","28.5","2020-08-28","N"
"LX136497","2020-08-28","18","20","1","19","18","20","2020-08-28","N"
"LX136501","2020-08-28","65.299","67.766","8","66.5325","65.299","67.766","2020-08-28","N"
"LX136502","2020-08-28","64.549","67.016","implied","65.7825","64.549","67.016","2020-08-28","N"
"LX136503","2020-08-28","2.9","5.123","5","4.0115","2.9","5.123","2020-08-28","N"
"LX136505","2020-08-28","97","99","1","98","97","99","2020-08-28","N"
"LX136533","2020-08-28","91.967","93.279","implied","92.623","91.967","93.279","2020-08-28","N"
"LX136541","2020-08-28","61.6","67.2","5","64.4","61.6","67.2","2020-08-28","N"
"LX136612","2020-08-28","91.248","92.623","implied","91.9355","91.248","92.623","2020-08-28","N"
"LX136618","2020-08-28","97","98","1","97.5","97","98","2020-08-28","N"
"LX136688","2020-08-28","30","36","5","33","30","36","2020-08-28","N"
"LX136719","2020-08-28","87","90","1","88.5","87","90","2020-08-28","N"
"LX136800","2020-08-28","99.5","100","1","99.75","99.5","100","2020-08-28","N"
"LX136871","2020-08-28","96.154","97.404","implied","96.779","96.154","97.404","2020-08-28","N"
"LX136879","2020-08-28","88.219","89.781","8","89","88.219","89.781","2020-08-28","N"
"LX136884","2020-08-28","69.625","73.625","4","71.625","69.625","73.625","2020-08-28","N"
"LX136965","2020-08-28","62","72","1","67","62","72","2020-08-28","N"
"LX136967","2020-08-28","62","72","1","67","62","72","2020-08-28","N"
"LX136968","2020-08-28","62","72","1","67","62","72","2020-08-28","N"
"LX137083","2020-08-28","19.75","29.75","1","24.75","19.75","29.75","2020-08-28","N"
"LX137092","2020-08-28","98.597","99.388","implied","98.9925","98.597","99.388","2020-08-28","N"
"LX137121","2020-08-28","52","54.5","5","53.25","52","54.5","2020-08-28","N"
"LX137123","2020-08-28","1","2","1","1.5","1","2","2020-08-28","N"
"LX137137","2020-08-28","30","33","1","29.607","28.526","30.688","2020-08-28","N"
"LX137138","2020-08-28","5","10","1","7.5","5","10","2020-08-28","N"
"LX137153","2020-08-28","99","100","1","99.5","99","100","2020-08-28","N"
"LX137183","2020-08-28","88.75","90.75","1","89.75","88.75","90.75","2020-08-28","N"
"LX137246","2020-08-28","1","1.1","1","1.05","1","1.1","2020-08-28","N"
"LX137287","2020-08-28","88.75","90.75","1","89.75","88.75","90.75","2020-08-28","N"
"LX137290","2020-08-28","70","74.25","4","72.125","70","74.25","2020-08-28","N"
"LX137410","2020-08-28","80.663","85.663","implied","83.163","80.663","85.663","2020-08-28","N"
"LX137456","2020-08-28","5.25","6.25","1","5.75","5.25","6.25","2020-08-28","N"
"LX137475","2020-08-28","96.5","99.5","1","98","96.5","99.5","2020-08-28","N"
"LX137493","2020-08-28","97","99","1","98","97","99","2020-08-28","N"
"LX137495","2020-08-28","97","99","1","98","97","99","2020-08-28","N"
"LX137496","2020-08-28","97","99","1","98","97","99","2020-08-28","N"
"LX137497","2020-08-28","97","99","1","98","97","99","2020-08-28","N"
"LX137507","2020-08-28","97","99","1","98","97","99","2020-08-28","N"
"LX137508","2020-08-28","97","99","1","98","97","99","2020-08-28","N"
"LX137509","2020-08-28","97","99","1","98","97","99","2020-08-28","N"
"LX137510","2020-08-28","97","99","1","98","97","99","2020-08-28","N"
"LX137511","2020-08-28","97","99","1","98","97","99","2020-08-28","N"
"LX137512","2020-08-28","97","99","1","98","97","99","2020-08-28","N"
"LX137513","2020-08-28","97","99","1","98","97","99","2020-08-28","N"
"LX137516","2020-08-28","40","50","1","45","40","50","2020-08-28","N"
"LX137517","2020-08-28","0.07","0.095","2","0.0825","0.07","0.095","2020-08-28","N"
"LX137543","2020-08-28","93.873","94.873","implied","94.373","93.873","94.873","2020-08-28","N"
"LX137596","2020-08-28","0","2","1","1","0","2","2020-08-28","N"
"LX137625","2020-08-28","17","20","1","18.5","17","20","2020-08-28","N"
"LX137652","2020-08-28","63.083","68.667","3","65.875","63.083","68.667","2020-08-28","N"
"LX137741","2020-08-28","99.25","100.25","1","99.75","99.25","100.25","2020-08-28","N"
"LX137766","2020-08-28","13750","16500","2","15125","13750","16500","2020-08-28","N"
"LX137858","2020-08-28","78","83","1","80.5","78","83","2020-08-28","N"
"LX137890","2020-08-28","98.25","100.5","1","99.375","98.25","100.5","2020-08-28","N"
"LX137896","2020-08-28","98.375","98.75","1","98.5625","98.375","98.75","2020-08-28","N"
"LX137951","2020-08-28","71.25","73.25","2","72.25","71.25","73.25","2020-08-28","N"
"LX137952","2020-08-28","7.667","11","6","9.3335","7.667","11","2020-08-28","N"
"LX137953","2020-08-28","68.5","71.5","1","70","68.5","71.5","2020-08-28","N"
"LX137977","2020-08-28","44.375","46.875","2","45.625","44.375","46.875","2020-08-28","N"
"LX138102","2020-08-28","80","81","1","80.5","80","81","2020-08-28","N"
"LX138103","2020-08-28","63","65","1","64","63","65","2020-08-28","N"
"LX138122","2020-08-28","94.9","95.925","5","95.4125","94.9","95.925","2020-08-28","N"
"LX138123","2020-08-28","76.5","79.688","4","78.094","76.5","79.688","2020-08-28","N"
"LX138127","2020-08-28","73.25","77.25","4","75.25","73.25","77.25","2020-08-28","N"
"LX138244","2020-08-28","82","85","3","83.5","82","85","2020-08-28","N"
"LX138292","2020-08-28","96","98","1","97","96","98","2020-08-28","N"
"LX138490","2020-08-28","705","762.5","2","733.75","705","762.5","2020-08-28","N"
"LX138508","2020-08-28","94.813","95.984","8","95.384","94.786","95.982","2020-08-28","N"
"LX138509","2020-08-28","85.15","88.05","10","86.556","85.056","88.056","2020-08-28","N"
"LX138544","2020-08-28","5","15","1","10","5","15","2020-08-28","N"
"LX138592","2020-08-28","0.23","0.38","1","0.305","0.23","0.38","2020-08-28","N"
"LX138704","2020-08-28","0.01","0.05","1","0.03","0.01","0.05","2020-08-28","N"
"LX139042","2020-08-28","97","98","1","97.5","97","98","2020-08-28","N"
"LX139129","2020-08-28","73.25","77.25","4","75.25","73.25","77.25","2020-08-28","N"
"LX139166","2020-08-28","0.075","0.079","1","0.077","0.075","0.079","2020-08-28","N"
"LX139229","2020-08-28","51.75","55.5","4","53.625","51.75","55.5","2020-08-28","N"
"LX139312","2020-08-28","97.833","98.958","3","98.3955","97.833","98.958","2020-08-28","N"
"LX139313","2020-08-28","99.583","100.25","3","99.9165","99.583","100.25","2020-08-28","N"
"LX139314","2020-08-28","99.583","100.25","3","99.9165","99.583","100.25","2020-08-28","N"
"LX139315","2020-08-28","99.583","100.25","3","99.9165","99.583","100.25","2020-08-28","N"
"LX139671","2020-08-28","96.5","97.5","1","97","96.5","97.5","2020-08-28","N"
"LX139679","2020-08-28","98.55","99.8","5","99.175","98.55","99.8","2020-08-28","N"
"LX139738","2020-08-28","2.9","2.92","1","2.91","2.9","2.92","2020-08-28","N"
"LX139834","2020-08-28","100","101","1","100.5","100","101","2020-08-28","N"
"LX139851","2020-08-28","98.388","99.222","implied","98.805","98.388","99.222","2020-08-28","N"
"LX139901","2020-08-28","90","95","1","92.5","90","95","2020-08-28","N"
"LX139986","2020-08-28","99.5","100","1","99.75","99.5","100","2020-08-28","N"
"LX139993","2020-08-28","99.5","100","1","99.75","99.5","100","2020-08-28","N"
"LX140038","2020-08-28","80.583","84.25","3","82.4165","80.583","84.25","2020-08-28","N"
"LX140039","2020-08-28","76.496","80.163","implied","78.3295","76.496","80.163","2020-08-28","N"
"LX140044","2020-08-28","96.407","98.407","implied","97.407","96.407","98.407","2020-08-28","N"
"LX140105","2020-08-28","2.5","5","1","3.75","2.5","5","2020-08-28","N"
"LX140132","2020-08-28","2.5","5","1","3.75","2.5","5","2020-08-28","N"
"LX140271","2020-08-28","98.5","100","2","99.25","98.5","100","2020-08-28","N"
