LoanX ID,Mark Date,Bid,Offer,Depth,Evaluated Price,Close Bid,Close Offer,Close Date,Contributed
"LX174846","2020-08-25","85","88","1","86.5","85","88","2020-08-25","N"
"LX174848","2020-08-25","94.7","96.6","5","95.7","94.75","96.65","2020-08-25","N"
"LX174850","2020-08-25","93.373","94.373","implied","93.873","93.373","94.373","2020-08-25","N"
"LX174851","2020-08-25","82","84","1","83","82","84","2020-08-25","N"
"LX174852","2020-08-25","97.594","98.813","8","98.2035","97.594","98.813","2020-08-25","N"
"LX174861","2020-08-25","96","97","1","96.5","96","97","2020-08-25","N"
"LX174862","2020-08-25","96","97","1","96.5","96","97","2020-08-25","N"
"LX174863","2020-08-25","92.873","93.873","implied","93.373","92.873","93.873","2020-08-25","N"
"LX174869","2020-08-25","97","98","1","97.5","97","98","2020-08-25","N"
"LX174870","2020-08-25","93.873","94.873","implied","94.373","93.873","94.873","2020-08-25","N"
"LX174871","2020-08-25","93.873","94.873","implied","94.373","93.873","94.873","2020-08-25","N"
"LX174879","2020-08-25","98.93","99.43","implied","99.18","98.93","99.43","2020-08-25","N"
"LX174888","2020-08-25","88.998","91.498","implied","90.248","88.998","91.498","2020-08-25","N"
"LX174889","2020-08-25","91.125","92.375","4","91.75","91.125","92.375","2020-08-25","N"
"LX174890","2020-08-25","92","94","1","93","92","94","2020-08-25","N"
"LX174896","2020-08-25","92","99","implied","95.5","92","99","2020-08-25","N"
"LX174903","2020-08-25","99","100","1","","","","","N"
"LX174905","2020-08-25","75","80","1","77.5","75","80","2020-08-25","N"
"LX174939","2020-08-25","93.665","94.831","implied","94.248","93.665","94.831","2020-08-25","N"
"LX174954","2020-08-25","95.25","96.917","3","96.0835","95.25","96.917","2020-08-25","N"
"LX174955","2020-08-25","92.123","93.79","implied","92.9565","92.123","93.79","2020-08-25","N"
